127.0.0.1 - - [05/Nov/2016:15:19:36 +0800] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [05/Nov/2016:15:20:09 +0800] "GET /JQueryTest/ HTTP/1.1" 200 4947
127.0.0.1 - - [05/Nov/2016:15:20:09 +0800] "GET /JQueryTest/imooc.css HTTP/1.1" 404 991
127.0.0.1 - - [05/Nov/2016:16:11:06 +0800] "GET /JQueryTest/ HTTP/1.1" 200 4988
127.0.0.1 - - [05/Nov/2016:16:11:06 +0800] "GET /JQueryTest/imooc.css HTTP/1.1" 404 991
127.0.0.1 - - [05/Nov/2016:16:11:06 +0800] "GET /JQueryTest/js/jquery-1.9.1.js HTTP/1.1" 200 277978
127.0.0.1 - - [05/Nov/2016:16:17:53 +0800] "GET /JQueryTest/ HTTP/1.1" 200 3821
127.0.0.1 - - [05/Nov/2016:16:17:53 +0800] "GET /JQueryTest/imooc.css HTTP/1.1" 404 991
127.0.0.1 - - [05/Nov/2016:16:17:53 +0800] "GET /JQueryTest/js/jquery-1.9.1.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:17:59:21 +0800] "GET /JQueryTest/ HTTP/1.1" 200 752
127.0.0.1 - - [05/Nov/2016:17:59:21 +0800] "GET /JQueryTest/imooc.css HTTP/1.1" 404 991
127.0.0.1 - - [05/Nov/2016:17:59:21 +0800] "GET /JQueryTest/js/jquery-1.9.1.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:17:59:21 +0800] "GET /JQueryTest/easyui/jquery.easyui.min.js HTTP/1.1" 200 322745
127.0.0.1 - - [05/Nov/2016:17:59:21 +0800] "GET /JQueryTest/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2624
127.0.0.1 - - [05/Nov/2016:17:59:21 +0800] "GET /JQueryTest/js/index.js.js HTTP/1.1" 404 1001
127.0.0.1 - - [05/Nov/2016:17:59:21 +0800] "GET /JQueryTest/easyui/themes/default/easyui.css HTTP/1.1" 200 46665
127.0.0.1 - - [05/Nov/2016:17:59:21 +0800] "GET /JQueryTest/easyui/themes/icon.css HTTP/1.1" 200 1732
127.0.0.1 - - [05/Nov/2016:18:01:33 +0800] "GET /JQueryTest/ HTTP/1.1" 200 752
127.0.0.1 - - [05/Nov/2016:18:01:33 +0800] "GET /JQueryTest/imooc.css HTTP/1.1" 404 991
127.0.0.1 - - [05/Nov/2016:18:01:33 +0800] "GET /JQueryTest/js/index.js.js HTTP/1.1" 404 1001
127.0.0.1 - - [05/Nov/2016:18:02:28 +0800] "GET /JQueryTest/ HTTP/1.1" 200 718
127.0.0.1 - - [05/Nov/2016:18:02:28 +0800] "GET /JQueryTest/imooc.css HTTP/1.1" 404 991
127.0.0.1 - - [05/Nov/2016:18:02:28 +0800] "GET /JQueryTest/js/jquery-1.9.1.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:02:28 +0800] "GET /JQueryTest/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:02:28 +0800] "GET /JQueryTest/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:02:28 +0800] "GET /JQueryTest/js/index.js.js HTTP/1.1" 404 1001
127.0.0.1 - - [05/Nov/2016:18:02:28 +0800] "GET /JQueryTest/easyui/themes/default/easyui.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:02:28 +0800] "GET /JQueryTest/easyui/themes/icon.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:03:09 +0800] "GET /JQueryTest/ HTTP/1.1" 200 718
127.0.0.1 - - [05/Nov/2016:18:03:09 +0800] "GET /JQueryTest/imooc.css HTTP/1.1" 404 991
127.0.0.1 - - [05/Nov/2016:18:03:09 +0800] "GET /JQueryTest/js/jquery-1.9.1.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:03:09 +0800] "GET /JQueryTest/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:03:09 +0800] "GET /JQueryTest/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:03:09 +0800] "GET /JQueryTest/js/index.js.js HTTP/1.1" 404 1001
127.0.0.1 - - [05/Nov/2016:18:03:09 +0800] "GET /JQueryTest/easyui/themes/default/easyui.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:03:09 +0800] "GET /JQueryTest/easyui/themes/icon.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:03:41 +0800] "GET /JQueryTest/ HTTP/1.1" 200 743
127.0.0.1 - - [05/Nov/2016:18:03:41 +0800] "GET /JQueryTest/imooc.css HTTP/1.1" 404 991
127.0.0.1 - - [05/Nov/2016:18:03:41 +0800] "GET /JQueryTest/js/jquery-1.9.1.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:03:41 +0800] "GET /JQueryTest/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:03:41 +0800] "GET /JQueryTest/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:03:41 +0800] "GET /JQueryTest/js/index.js.js HTTP/1.1" 404 1001
127.0.0.1 - - [05/Nov/2016:18:03:41 +0800] "GET /JQueryTest/easyui/themes/default/easyui.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:03:41 +0800] "GET /JQueryTest/easyui/themes/icon.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:07:54 +0800] "GET /JQueryTest/ HTTP/1.1" 200 752
127.0.0.1 - - [05/Nov/2016:18:07:54 +0800] "GET /JQueryTest/imooc.css HTTP/1.1" 404 991
127.0.0.1 - - [05/Nov/2016:18:07:54 +0800] "GET /JQueryTest/js/jquery-1.9.1.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:07:54 +0800] "GET /JQueryTest/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:07:54 +0800] "GET /JQueryTest/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Nov/2016:18:07:54 +0800] "GET /JQueryTest/js/index.js.js HTTP/1.1" 404 1001
